time,pages_unshared,pages_saved,pages_shared,full_scans
0,262144,0,0,0
79,262129,14,1,0
5063,261975,166,3,0
10048,260694,1444,6,0
15033,259120,3017,6,0
20018,257560,4578,6,0
25003,256008,6130,6,0
29988,254467,7671,6,0
34973,252936,9202,6,0
39958,251416,10722,6,0
44943,249904,12233,6,0
49928,248404,13734,6,0
54913,246911,15227,6,0
59898,245428,16710,6,0
64883,243954,18184,6,0
69868,242489,19649,6,0
74853,241033,21105,6,0
79838,239586,22552,6,0
84823,238146,23992,6,0
89808,236716,25422,6,0
94793,235292,26846,6,0
99778,233877,28261,6,0
104763,232470,29668,6,0
109748,231072,31066,6,0
114733,229680,32457,6,0
119718,228295,33843,6,0
124703,226921,35217,6,0
129688,225552,36586,6,0
134673,224190,37948,6,0
139658,222837,39301,6,0
144643,221489,40649,6,0
149628,220148,41990,6,0
154613,218814,43324,6,0
159598,217488,44650,6,0
164583,216168,45970,6,0
169568,214853,47285,6,0
174553,213547,48591,6,0
179538,212245,49893,6,0
184523,210950,51188,6,0
189508,209661,52477,6,0
194493,208379,53759,6,0
199478,207102,55036,6,0
204463,205832,56306,6,0
209448,204568,57570,6,0
214433,203311,58827,6,0
219418,202057,60081,6,0
224403,200811,61327,6,0
229388,199567,62571,6,0
234373,198330,63808,6,0
239358,197099,65039,6,0
244343,195872,66266,6,0
249328,194649,67489,6,0
254313,193433,68705,6,0
259298,192221,69917,6,0
264283,191014,71124,6,0
269269,189809,72328,6,0
274254,188612,73526,6,0
279239,187419,74718,6,0
284224,186230,75908,6,0
289215,185046,77092,6,0
294200,183866,78272,6,0
299185,182692,79446,6,0
304170,181521,80617,6,0
309155,180354,81784,6,0
314140,179192,82946,6,0
319125,178034,84104,6,0
324110,176881,85256,6,0
329095,175732,86406,6,0
334080,174587,87551,6,0
339065,173447,88691,6,0
344050,172310,89828,6,0
349035,171178,90960,6,0
354020,170048,92090,6,0
359005,168923,93215,6,0
363990,167801,94337,6,0
368975,166684,95454,6,0
373960,165570,96568,6,0
378945,164461,97677,6,0
383930,163354,98784,6,0
388915,162251,99887,6,0
393900,161152,100986,6,0
398885,160056,102082,6,0
403870,158964,103174,6,0
408855,157876,104262,6,0
413840,156792,105346,6,0
418825,155710,106428,6,0
423810,154633,107505,6,0
428795,153558,108580,6,0
433780,152487,109651,6,0
438765,151418,110720,6,0
443750,150354,111784,6,0
448735,149293,112845,6,0
453720,148234,113904,6,0
458705,147179,114959,6,0
463690,146126,116012,6,0
468675,145076,117062,6,0
473660,144031,118107,6,0
478645,142988,119150,6,0
483630,141948,120190,6,0
488615,140912,121226,6,0
493600,139878,122260,6,0
498585,138847,123291,6,0
503570,137819,124319,6,0
508555,136794,125344,6,0
513540,135772,126366,6,0
518525,134753,127385,6,0
523510,133736,128402,6,0
528495,132722,129416,6,0
533480,131711,130427,6,0
538465,130704,131434,6,0
543450,129699,132439,6,0
548435,128696,133442,6,0
553420,127696,134442,6,0
558405,126700,135438,6,0
563390,125705,136433,6,0
568375,124713,137425,6,0
573360,123724,138414,6,0
578345,122737,139400,6,0
583330,121753,140385,6,0
588315,120771,141367,6,0
593300,119793,142345,6,0
598285,118817,143321,6,0
603270,117842,144296,6,0
608255,116870,145268,6,0
613240,115901,146237,6,0
618225,114934,147204,6,0
623210,113970,148168,6,0
