file,time_mean,time_max,time_min,time_spm_mean,time_spm_max,time_spm_min,overhead
dickens,179,180,179,305,306,304,0.7039
mozilla,370,371,370,556,554,558,0.5027
mr,182,182,182,285,285,284,0.5659
nci,196,197,195,260,260,259,0.3265
ooffice,127,128,127,207,207,206,0.6299
osdb,128,128,128,224,224,223,0.7500
reymont,142,142,142,209,210,209,0.4718
samba,178,178,178,310,310,309,0.7416
sao,144,144,144,267,268,266,0.8542
webster,339,339,338,500,501,500,0.4749
xml,101,102,101,118,118,118,0.1683
x-ray,135,135,134,229,229,228,0.6963
